Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Weather_Condition,day_of_week_acc,Nautical_Twilight,season_acc,cible,year_acc
30.2,-81.8,3.0,76.0,100.0,9.0,0.2012560380538422,Mostly Cloudy,5,Day,autumn,0,2020
28.5,-81.5,0.0,49.0,90.0,10.0,0.11539246896503184,Mostly Cloudy,5,Night,winter,0,2020
43.2,-77.8,0.0,62.0,56.0,10.0,0.1934317088257318,Mostly Cloudy,3,Day,autumn,0,2020
37.4,-121.9,0.0,51.0,89.0,9.0,0.14509260250954292,Cloudy,5,Night,spring,0,2020
40.6,-111.9,0.0,32.0,54.0,10.0,0.16782070524190654,Mostly Cloudy,0,Day,winter,0,2020
45.7,-93.0,1.0,26.0,89.0,2.0,0.1726279818900893,Other,0,Night,winter,0,2020
37.7,-121.7,0.0,46.0,50.0,10.0,0.1260522790801609,Fair,0,Night,winter,0,2020
30.2,-97.7,0.0,46.0,79.0,10.0,0.07512959899967943,Fair,2,Night,autumn,0,2020
26.2,-80.3,1.0,75.0,94.0,10.0,0.1837178381607416,Light Rain,2,Night,autumn,0,2020
37.8,-122.0,0.0,60.0,90.0,6.0,0.14509260250954292,Light Rain,0,Day,spring,0,2020
35.7,-78.6,0.0,85.0,59.0,10.0,0.1934317088257318,Fair,2,Day,summer,1,2020
30.3,-97.6,0.0,64.0,94.0,10.0,0.07512959899967943,Fair,1,Night,autumn,0,2020
30.3,-97.7,0.0,41.0,89.0,1.0,0.11216944406164672,Light Rain,3,Day,winter,0,2020
43.2,-84.6,1.0,70.0,91.0,10.0,0.20179659383577014,Mostly Cloudy,2,Day,summer,1,2020
39.2,-94.6,1.0,51.0,54.0,10.0,0.16782070524190654,Fair,3,Day,autumn,0,2020
34.6,-82.5,0.0,66.0,94.0,10.0,0.1978658207971211,Mostly Cloudy,4,Day,autumn,0,2020
37.1,-93.3,0.0,60.0,32.0,10.0,0.2012560380538422,Fair,1,Day,autumn,0,2020
29.5,-98.5,0.0,62.0,93.0,9.0,0.07512959899967943,Light Rain,5,Night,winter,0,2020
45.1,-93.3,0.0,28.0,72.0,10.0,0.16782070524190654,Mostly Cloudy,6,Day,autumn,0,2020
25.8,-80.2,1.0,83.0,82.0,10.0,0.19611848126126613,Mostly Cloudy,2,Night,autumn,0,2020
35.6,-78.6,1.0,51.0,96.0,10.0,0.07512959899967943,Cloudy,4,Night,autumn,0,2020
45.0,-92.8,0.0,25.0,59.0,10.0,0.07512959899967943,Fair,0,Day,autumn,0,2020
38.5,-90.5,0.0,58.0,81.0,10.0,0.1934317088257318,Fair,6,Night,autumn,0,2020
43.7,-94.7,0.0,30.0,69.0,7.0,0.1934317088257318,Other,4,Day,winter,0,2020
37.7,-77.4,1.0,50.0,89.0,10.0,0.16782070524190654,Mostly Cloudy,4,Day,autumn,0,2020
45.5,-118.4,3.0,43.0,62.0,10.0,0.11216944406164672,Other,5,Day,winter,0,2020
37.0,-121.9,0.0,60.0,57.0,10.0,0.19611848126126613,Fair,3,Day,autumn,0,2020
33.9,-84.4,0.0,62.0,93.0,8.0,0.11207069872824872,Cloudy,3,Day,spring,0,2020
35.4,-118.8,0.0,,,10.0,0.1978658207971211,Mostly Cloudy,6,Day,winter,0,2020
34.0,-117.8,1.0,72.0,22.0,10.0,0.07512959899967943,Fair,4,Day,winter,0,2020
